ticket_date,channel,region,issue_type,resolution_hours,csat_score,first_contact_resolution,churned_within_90d
2025-02-17,Phone,EMEA,Feature Request,2.1,4.3,True,False
2024-08-02,Self-Service,LATAM,Technical Issue,0.5,4.6,False,False
2025-09-20,Self-Service,North America,Technical Issue,0.5,4.4,True,False
2024-06-08,Phone,LATAM,Technical Issue,0.3,4.4,False,False
2024-05-13,Phone,LATAM,Feature Request,1.4,3.7,True,False
2024-06-03,Chat,EMEA,Billing,3.6,4.2,False,False
2024-10-03,Self-Service,LATAM,Feature Request,0.9,4.8,False,False
2024-04-25,Chat,North America,Account Access,6.0,4.6,False,False
2025-10-18,Self-Service,North America,General Inquiry,0.3,3.4,True,False
2025-12-27,Chat,LATAM,Technical Issue,3.2,5.0,True,False
2024-07-19,Self-Service,North America,Technical Issue,0.3,4.3,True,False
2025-02-08,Chat,APAC,Feature Request,4.4,3.7,True,False
2025-07-23,Self-Service,LATAM,General Inquiry,0.6,4.5,True,False
2024-09-21,Email,North America,Feature Request,9.9,4.1,True,False
2025-09-13,Self-Service,APAC,Billing,0.3,3.0,False,False
2025-04-09,Chat,EMEA,Billing,3.9,4.4,False,False
2025-04-29,Phone,EMEA,Technical Issue,0.6,3.5,False,False
2024-03-02,Phone,LATAM,General Inquiry,3.7,5.0,True,False
2024-08-16,Chat,North America,General Inquiry,2.8,2.4,True,False
2025-05-21,Email,EMEA,Billing,11.5,2.9,False,False
2025-08-26,Chat,LATAM,Account Access,3.9,5.0,False,True
2025-09-22,Email,EMEA,Feature Request,20.9,2.6,True,False
2025-07-23,Phone,EMEA,Account Access,1.3,4.6,True,False
2025-05-17,Email,EMEA,Account Access,10.4,3.3,False,False
2025-02-19,Chat,EMEA,Feature Request,3.2,4.0,False,False
2025-07-18,Chat,EMEA,Billing,7.4,3.4,True,False
2024-08-08,Self-Service,North America,General Inquiry,0.9,3.1,False,False
2024-02-01,Phone,LATAM,Technical Issue,2.0,3.5,True,False
2025-03-07,Chat,LATAM,Technical Issue,4.4,3.8,False,False
2025-12-30,Chat,EMEA,Account Access,4.9,3.0,True,False
2024-04-01,Chat,APAC,General Inquiry,4.0,4.3,True,False
2025-06-08,Chat,North America,Feature Request,4.6,4.1,True,False
2024-11-04,Chat,EMEA,Feature Request,4.4,2.6,False,False
2025-10-30,Email,EMEA,Billing,25.6,3.7,False,False
2024-11-16,Chat,LATAM,Feature Request,2.6,4.2,True,False
2025-12-29,Self-Service,LATAM,Billing,0.3,3.2,False,False
2025-03-05,Chat,APAC,Billing,4.9,4.3,True,True
2024-05-15,Email,EMEA,Feature Request,21.5,4.4,False,False
2025-03-08,Chat,APAC,Feature Request,2.2,4.3,True,False
2025-02-22,Chat,EMEA,Technical Issue,5.9,4.0,True,False
2024-12-04,Phone,EMEA,Billing,1.8,3.6,True,False
2024-06-10,Email,APAC,General Inquiry,22.1,3.0,True,False
2024-07-23,Chat,LATAM,Technical Issue,3.5,4.1,False,False
2024-08-14,Email,North America,Account Access,1.7,3.7,True,False
2025-06-09,Chat,APAC,Technical Issue,3.8,4.7,True,False
2024-01-14,Phone,EMEA,Feature Request,1.7,4.0,True,False
2025-08-02,Email,EMEA,Technical Issue,10.2,2.8,False,False
2025-07-29,Email,North America,Feature Request,12.0,4.6,False,False
2024-03-15,Self-Service,North America,Feature Request,0.4,3.2,True,False
2024-01-06,Self-Service,EMEA,Billing,0.4,4.3,False,False
2024-01-03,Email,EMEA,Technical Issue,25.2,3.8,False,False
2025-07-16,Self-Service,EMEA,Technical Issue,0.7,2.5,True,False
2025-06-13,Chat,APAC,Feature Request,4.1,4.2,False,False
2025-03-04,Email,LATAM,Account Access,24.4,3.4,True,False
2024-01-08,Chat,EMEA,Technical Issue,6.9,3.7,False,False
2024-07-14,Email,APAC,General Inquiry,21.2,3.6,False,False
2024-02-21,Phone,EMEA,Account Access,2.7,3.0,False,False
2024-04-30,Chat,LATAM,Account Access,3.1,4.4,False,False
2025-04-12,Phone,LATAM,Billing,0.4,3.2,True,False
2025-12-23,Email,APAC,General Inquiry,18.5,3.5,True,False
2025-01-30,Email,LATAM,Technical Issue,23.8,3.7,True,False
2025-11-27,Phone,North America,Account Access,1.8,4.9,True,False
2025-08-17,Self-Service,LATAM,Account Access,0.8,2.5,False,False
2024-02-06,Email,APAC,Account Access,17.0,3.3,False,False
2025-05-25,Phone,North America,Feature Request,2.2,4.3,True,False
2024-08-13,Self-Service,LATAM,Technical Issue,0.1,3.8,True,False
2025-10-04,Chat,North America,Feature Request,2.2,3.3,False,False
2024-08-26,Phone,EMEA,Billing,4.1,4.8,False,False
2025-10-18,Chat,EMEA,Account Access,1.7,5.0,True,False
2025-07-08,Self-Service,APAC,Billing,0.8,3.7,False,False
2025-02-18,Chat,APAC,Billing,3.2,3.7,True,False
2024-07-11,Phone,LATAM,Account Access,3.1,4.2,True,False
2024-07-23,Self-Service,APAC,Feature Request,0.4,4.7,False,False
2024-05-29,Chat,APAC,Feature Request,4.5,4.8,False,False
2025-04-05,Phone,LATAM,Account Access,1.1,4.0,False,False
2025-04-26,Phone,LATAM,Billing,2.3,5.0,False,False
2024-01-28,Email,EMEA,Account Access,27.9,4.1,True,False
2024-07-17,Chat,APAC,Account Access,4.3,4.9,True,False
2024-03-13,Self-Service,North America,Technical Issue,0.7,3.4,True,False
2024-03-05,Self-Service,APAC,Feature Request,0.3,3.9,False,False
2025-03-03,Chat,EMEA,Technical Issue,4.4,4.3,False,False
2024-11-09,Chat,APAC,General Inquiry,4.5,4.5,False,True
2024-08-04,Self-Service,APAC,Billing,0.7,4.3,True,False
2025-05-26,Chat,EMEA,Technical Issue,4.1,5.0,True,True
2024-11-04,Chat,EMEA,Account Access,0.1,4.0,False,False
2025-04-16,Email,EMEA,Feature Request,18.4,3.1,True,False
2024-10-23,Self-Service,EMEA,Feature Request,0.4,3.9,True,False
2025-06-10,Chat,North America,Feature Request,4.1,4.1,True,False
2025-03-16,Chat,APAC,Account Access,3.3,4.7,False,False
2025-02-20,Phone,APAC,Account Access,0.3,5.0,True,False
2024-09-13,Self-Service,North America,Technical Issue,0.5,2.8,False,True
2024-04-03,Chat,APAC,Billing,5.2,4.9,True,False
2025-02-01,Self-Service,EMEA,Billing,0.3,4.2,False,False
2025-03-23,Self-Service,APAC,Technical Issue,0.3,1.9,True,False
2024-01-09,Email,LATAM,General Inquiry,19.7,3.8,False,False
2024-11-19,Chat,North America,Feature Request,4.3,4.8,True,False
2025-08-21,Phone,LATAM,Account Access,3.9,4.8,True,False
2025-10-12,Email,LATAM,Technical Issue,24.0,3.8,False,False
2024-08-04,Chat,EMEA,Technical Issue,1.2,3.4,True,False
2025-09-27,Chat,EMEA,Feature Request,3.9,4.4,False,False
2025-09-23,Phone,APAC,Account Access,0.7,4.4,False,False
2024-07-13,Email,APAC,General Inquiry,12.2,3.2,False,False
2024-04-15,Chat,APAC,Technical Issue,5.0,3.9,False,False
2025-11-02,Chat,North America,Billing,3.1,4.5,True,False
2025-08-22,Phone,North America,Feature Request,2.4,3.9,True,False
2024-11-05,Phone,LATAM,Technical Issue,2.3,4.5,True,False
2024-01-06,Chat,LATAM,Technical Issue,5.7,4.7,True,False
2025-01-11,Self-Service,LATAM,Account Access,0.6,3.2,False,False
2024-02-18,Chat,APAC,Account Access,6.7,3.9,False,False
2024-07-24,Self-Service,North America,General Inquiry,0.3,5.0,True,False
2024-12-10,Chat,APAC,Feature Request,4.9,3.4,False,False
2025-12-23,Chat,LATAM,Account Access,2.4,4.5,False,False
2024-12-30,Self-Service,North America,Billing,0.7,2.8,True,False
2024-11-13,Self-Service,North America,Technical Issue,0.7,4.6,False,True
2024-08-11,Chat,EMEA,Account Access,3.7,4.4,False,False
2025-03-24,Chat,LATAM,Billing,3.8,4.3,True,False
2025-07-22,Phone,North America,Billing,2.0,3.2,True,False
2025-03-25,Phone,APAC,Billing,1.6,5.0,True,False
2024-01-02,Self-Service,APAC,Billing,0.2,4.1,True,False
2025-06-13,Phone,North America,General Inquiry,0.5,4.9,True,False
2025-03-29,Chat,LATAM,Feature Request,0.9,3.5,True,False
2024-09-09,Chat,EMEA,Billing,3.1,3.0,False,False
2025-05-02,Self-Service,EMEA,Account Access,0.8,3.6,False,False
2025-11-04,Email,EMEA,Feature Request,22.5,3.6,False,False
2024-11-03,Email,LATAM,Feature Request,24.5,4.3,True,False
2024-03-18,Phone,LATAM,General Inquiry,1.2,4.2,False,False
2025-09-19,Self-Service,EMEA,Feature Request,0.3,2.6,True,False
2025-10-29,Chat,EMEA,Feature Request,2.5,4.0,False,False
2025-01-10,Email,LATAM,General Inquiry,20.9,3.0,False,True
2024-05-19,Email,LATAM,Billing,13.0,4.1,False,False
2024-09-24,Email,LATAM,Billing,21.3,1.7,False,False
2025-05-12,Self-Service,North America,Feature Request,0.4,4.1,True,False
2025-06-28,Self-Service,APAC,Feature Request,0.3,4.1,True,False
2024-09-21,Chat,LATAM,Technical Issue,5.1,5.0,True,False
2025-05-06,Chat,LATAM,Feature Request,2.1,2.7,True,False
2024-11-04,Phone,North America,Technical Issue,1.4,4.3,True,False
2025-10-13,Chat,LATAM,Feature Request,3.8,4.6,True,False
2025-07-24,Self-Service,North America,Account Access,0.2,3.8,True,False
2024-07-21,Phone,APAC,General Inquiry,2.6,3.8,True,False
2025-06-18,Self-Service,North America,Feature Request,0.3,4.0,True,False
2025-02-25,Phone,EMEA,Account Access,1.4,3.8,True,False
2024-11-09,Self-Service,North America,Feature Request,0.5,3.3,False,False
2024-04-22,Self-Service,North America,General Inquiry,0.3,3.8,True,False
2025-10-06,Phone,North America,Account Access,1.0,3.4,True,False
2024-09-18,Self-Service,EMEA,Billing,0.7,5.0,True,False
2024-05-30,Phone,EMEA,Technical Issue,2.3,4.8,True,False
2024-02-07,Phone,North America,General Inquiry,2.3,5.0,True,False
2024-06-05,Self-Service,EMEA,Billing,0.7,3.2,False,False
2024-04-03,Email,LATAM,Technical Issue,20.2,3.9,True,False
2024-03-24,Chat,LATAM,Feature Request,5.8,3.9,True,False
2025-01-13,Chat,LATAM,Feature Request,2.6,4.5,False,False
2024-11-25,Chat,North America,Account Access,3.3,4.6,True,False
2025-06-13,Self-Service,North America,General Inquiry,0.4,4.3,True,False
2025-01-23,Email,APAC,Account Access,25.2,3.5,False,False
2024-08-09,Chat,APAC,Account Access,5.0,3.9,True,False
2024-03-15,Chat,EMEA,Billing,2.3,3.6,True,False
2024-05-27,Chat,LATAM,Account Access,2.1,4.3,True,False
2024-10-29,Email,EMEA,Account Access,18.4,2.8,False,False
2025-12-29,Phone,LATAM,Feature Request,1.7,5.0,False,False
2025-06-10,Chat,EMEA,Feature Request,4.4,4.8,True,False
2025-11-14,Self-Service,LATAM,Feature Request,0.5,3.5,False,False
2024-10-30,Phone,EMEA,General Inquiry,1.4,3.8,True,False
2024-02-18,Self-Service,LATAM,Account Access,0.4,3.6,True,False
2025-08-05,Email,APAC,General Inquiry,9.6,2.5,True,False
2025-06-01,Phone,EMEA,Feature Request,2.8,3.2,True,False
2024-01-27,Email,LATAM,Billing,25.6,3.9,False,False
2024-10-26,Self-Service,EMEA,Account Access,0.4,3.1,False,False
2025-08-05,Chat,LATAM,Technical Issue,2.0,4.0,False,False
2025-05-07,Phone,LATAM,Feature Request,1.4,5.0,False,False
2025-02-06,Chat,EMEA,General Inquiry,5.0,4.8,True,False
2024-01-23,Email,APAC,Account Access,22.2,3.7,True,False
2025-08-21,Email,North America,Account Access,16.3,3.9,False,True
2024-04-18,Self-Service,LATAM,Account Access,0.6,4.5,True,False
2024-01-21,Phone,APAC,Feature Request,3.2,4.0,True,False
2025-04-24,Self-Service,LATAM,Feature Request,0.7,4.3,True,False
2024-08-21,Phone,APAC,Account Access,1.0,4.3,True,False
2024-08-13,Email,EMEA,General Inquiry,21.5,4.1,True,False
2024-12-23,Chat,LATAM,General Inquiry,1.9,4.5,True,False
2024-12-11,Self-Service,North America,Billing,0.3,4.1,True,False
2024-09-28,Self-Service,APAC,General Inquiry,0.6,3.5,False,False
2024-02-20,Self-Service,APAC,Feature Request,0.1,3.8,True,False
2025-05-28,Chat,North America,Feature Request,4.0,3.9,True,False
2024-08-12,Email,EMEA,General Inquiry,13.9,4.5,True,False
2025-08-02,Phone,EMEA,Technical Issue,2.0,5.0,True,False
2024-08-24,Email,North America,Feature Request,8.2,5.0,False,False
2025-10-29,Self-Service,APAC,Billing,0.7,3.7,True,False
2024-07-17,Chat,APAC,Account Access,3.8,4.2,False,False
2025-05-15,Chat,EMEA,Technical Issue,3.0,5.0,False,False
2025-11-06,Chat,EMEA,Feature Request,3.1,5.0,False,False
2025-08-17,Chat,APAC,General Inquiry,5.0,5.0,True,False
2025-08-12,Email,APAC,General Inquiry,17.6,4.2,False,False
2025-01-09,Phone,EMEA,Technical Issue,1.4,4.3,True,False
2025-01-01,Email,APAC,Technical Issue,7.7,5.0,False,False
2025-03-30,Phone,APAC,Account Access,1.5,4.9,True,False
2024-06-13,Email,North America,Feature Request,16.6,3.6,False,False
2025-09-18,Email,North America,Feature Request,26.7,5.0,False,False
2025-07-06,Phone,EMEA,Technical Issue,2.9,3.9,True,False
2024-06-15,Phone,North America,Feature Request,1.3,2.6,True,False
2025-02-22,Email,APAC,General Inquiry,25.8,4.6,True,False
2024-01-18,Chat,LATAM,Technical Issue,2.6,3.5,True,False
2024-09-11,Chat,EMEA,General Inquiry,4.7,4.9,True,False
2025-10-31,Self-Service,North America,Account Access,0.2,3.4,True,False
2024-03-09,Chat,APAC,Feature Request,2.9,4.9,True,False
2024-11-10,Chat,EMEA,Account Access,0.9,4.0,True,False
2024-11-11,Self-Service,APAC,Billing,0.4,3.7,False,False
2024-06-10,Email,EMEA,General Inquiry,17.1,3.7,False,True
2025-02-03,Email,LATAM,Billing,17.0,5.0,True,False
2025-12-04,Phone,EMEA,Account Access,2.9,4.9,True,False
2025-06-28,Self-Service,EMEA,Account Access,0.4,4.9,True,False
2025-12-01,Self-Service,North America,Account Access,0.3,3.9,False,False
2024-06-01,Self-Service,LATAM,Technical Issue,0.5,3.7,True,False
2024-01-10,Email,EMEA,Account Access,17.6,3.4,False,False
2024-09-22,Email,North America,Technical Issue,11.6,3.9,True,False
2024-04-01,Self-Service,LATAM,General Inquiry,0.4,4.1,True,False
2024-07-26,Chat,LATAM,Technical Issue,0.7,3.9,False,False
2024-12-04,Phone,North America,General Inquiry,1.6,5.0,True,False
2024-04-22,Phone,LATAM,Account Access,0.2,3.6,True,False
2025-12-06,Phone,EMEA,Feature Request,2.0,4.0,True,False
2024-10-06,Phone,EMEA,Billing,2.7,4.0,True,False
2024-01-16,Email,LATAM,Technical Issue,0.1,3.0,False,False
2025-07-20,Self-Service,LATAM,Account Access,0.4,4.9,True,False
2024-07-10,Self-Service,APAC,Feature Request,0.1,5.0,True,False
2024-08-19,Self-Service,EMEA,General Inquiry,0.7,5.0,True,False
2024-08-21,Chat,APAC,General Inquiry,7.2,4.9,False,False
2024-04-25,Self-Service,North America,Technical Issue,0.4,3.9,False,False
2024-05-26,Chat,North America,General Inquiry,3.6,4.1,False,False
2024-10-21,Self-Service,APAC,Account Access,0.3,3.6,False,False
2024-08-10,Self-Service,EMEA,Billing,0.6,4.8,True,False
2025-02-11,Self-Service,LATAM,Account Access,0.3,4.7,False,False
2025-12-25,Chat,LATAM,Account Access,4.5,4.2,True,False
2024-04-01,Phone,North America,Feature Request,1.6,3.7,False,False
2024-05-05,Phone,LATAM,Billing,1.2,3.9,True,False
2025-05-01,Self-Service,APAC,Billing,0.6,5.0,True,False
2024-02-21,Self-Service,LATAM,Billing,0.7,4.0,False,False
2025-11-03,Chat,North America,Billing,5.4,4.0,False,False
2024-10-28,Chat,APAC,Account Access,3.5,5.0,False,True
2024-04-14,Chat,LATAM,Billing,6.2,3.6,False,False
2025-11-27,Chat,North America,General Inquiry,6.9,3.3,False,False
2024-01-02,Chat,EMEA,Account Access,2.3,3.4,False,False
2024-05-09,Email,LATAM,Feature Request,26.0,3.3,True,False
2025-03-14,Email,APAC,Account Access,17.9,3.7,True,False
2025-11-07,Self-Service,APAC,Billing,0.3,3.7,False,False
2024-07-14,Self-Service,LATAM,Account Access,0.6,4.2,True,False
2025-09-22,Self-Service,APAC,General Inquiry,0.6,3.4,True,False
2025-08-20,Email,North America,Technical Issue,15.8,3.5,False,False
2024-03-14,Phone,LATAM,Feature Request,2.1,4.9,True,False
2025-12-24,Email,EMEA,Technical Issue,34.1,3.4,True,False
2025-07-04,Email,EMEA,Feature Request,21.0,3.0,True,False
2024-06-08,Self-Service,LATAM,Feature Request,0.6,4.5,True,False
2025-12-09,Email,North America,Technical Issue,19.0,4.1,False,False
2025-10-07,Self-Service,EMEA,Billing,0.7,5.0,False,False
2025-11-04,Chat,EMEA,Feature Request,4.1,4.3,True,False
2024-12-02,Self-Service,EMEA,General Inquiry,0.3,3.7,True,False
2024-02-29,Email,APAC,Technical Issue,2.1,4.0,True,False
2025-10-27,Chat,North America,General Inquiry,6.0,4.0,True,False
2024-06-12,Phone,EMEA,Billing,2.5,4.4,True,False
2024-07-09,Phone,North America,Account Access,1.5,3.4,True,False
2025-06-18,Chat,EMEA,Billing,4.3,4.2,True,False
2025-03-05,Self-Service,North America,Technical Issue,0.5,4.3,True,False
2024-12-05,Chat,North America,General Inquiry,1.9,3.9,True,False
2025-05-20,Self-Service,APAC,Feature Request,0.6,4.2,True,False
2025-06-21,Chat,LATAM,Account Access,1.9,4.8,False,False
2024-04-24,Chat,APAC,Billing,3.7,3.7,True,False
2025-07-06,Phone,EMEA,Billing,1.8,3.9,True,False
2025-12-17,Self-Service,EMEA,Account Access,0.6,4.4,True,False
2025-03-18,Email,LATAM,Technical Issue,19.0,4.2,True,False
2025-05-30,Phone,North America,Account Access,0.9,3.9,False,False
2024-03-28,Phone,APAC,Billing,2.4,3.7,True,False
2025-05-25,Chat,North America,Billing,4.1,3.6,False,False
2025-12-25,Email,EMEA,Feature Request,14.0,3.7,False,False
2024-08-23,Chat,LATAM,Account Access,8.0,5.0,False,False
2025-10-17,Phone,EMEA,General Inquiry,1.4,3.3,True,False
2024-06-03,Self-Service,North America,Technical Issue,0.1,3.4,False,False
2024-06-23,Self-Service,APAC,Feature Request,0.5,4.4,True,False
2025-09-12,Email,North America,General Inquiry,7.3,4.6,True,False
2025-10-26,Chat,LATAM,Account Access,2.4,4.0,True,False
2024-09-28,Chat,EMEA,Account Access,3.5,4.2,False,False
2025-04-28,Self-Service,North America,Account Access,0.3,4.0,True,False
2025-01-31,Chat,North America,Account Access,3.9,4.9,True,False
2024-11-02,Chat,LATAM,General Inquiry,5.5,4.9,True,False
2025-12-30,Chat,EMEA,Feature Request,4.3,4.9,False,False
2024-07-22,Phone,LATAM,Billing,3.0,3.9,True,False
2024-02-10,Self-Service,LATAM,Billing,0.5,3.3,False,False
2025-02-16,Chat,North America,General Inquiry,2.5,4.5,False,False
2024-01-26,Email,EMEA,Feature Request,5.1,3.2,True,False
2024-06-10,Self-Service,North America,General Inquiry,0.6,4.2,False,False
2025-02-28,Self-Service,North America,General Inquiry,0.5,4.0,False,False
2024-06-20,Self-Service,LATAM,Billing,0.3,3.6,False,False
2024-05-05,Chat,APAC,Account Access,6.6,4.8,True,False
2024-11-01,Self-Service,North America,Billing,0.6,3.8,False,False
2025-01-21,Self-Service,North America,Feature Request,0.5,4.3,True,False
2025-12-13,Phone,APAC,General Inquiry,2.8,3.8,True,False
2025-07-21,Self-Service,EMEA,Feature Request,0.9,4.8,True,False
2024-10-24,Self-Service,LATAM,Feature Request,0.4,4.2,False,False
2024-03-21,Self-Service,North America,Billing,0.5,3.5,False,False
2025-07-31,Phone,EMEA,General Inquiry,1.6,3.6,True,False
2024-06-27,Email,APAC,General Inquiry,17.9,4.9,True,False
2025-06-25,Phone,North America,Technical Issue,2.8,4.5,True,False
2025-05-09,Self-Service,North America,General Inquiry,0.4,4.4,True,False
2025-04-27,Self-Service,LATAM,Technical Issue,0.5,3.9,True,False
2025-08-16,Email,North America,Feature Request,19.9,3.0,False,False
2024-06-14,Chat,LATAM,Billing,4.0,3.7,True,False
2024-12-25,Chat,EMEA,Feature Request,2.7,4.0,False,False
2025-11-02,Phone,North America,Technical Issue,0.8,4.8,True,True
2024-12-03,Email,EMEA,Billing,27.6,4.6,False,False
2025-10-22,Email,LATAM,Feature Request,22.6,1.4,False,False
2025-02-09,Phone,EMEA,Account Access,2.0,3.5,True,False
2024-09-09,Email,North America,Account Access,18.7,4.6,False,False
2024-09-10,Chat,EMEA,Feature Request,5.0,4.3,True,False
2025-12-14,Email,APAC,Billing,10.2,3.0,True,False
2025-02-26,Self-Service,North America,Feature Request,0.5,4.4,True,False
2025-11-07,Chat,LATAM,Billing,5.7,4.3,True,False
2025-08-09,Phone,EMEA,Account Access,2.4,3.0,True,False
2024-11-25,Self-Service,North America,Account Access,0.5,3.5,True,False
2024-07-30,Email,EMEA,Billing,14.4,4.4,True,False
2024-12-31,Email,North America,Account Access,0.1,4.0,True,False
2025-06-27,Self-Service,LATAM,Technical Issue,0.4,5.0,False,False
2024-12-18,Phone,LATAM,Billing,1.8,3.7,True,False
2025-05-24,Chat,APAC,Feature Request,3.2,3.4,True,False
2024-10-29,Chat,APAC,Feature Request,1.7,4.8,True,False
2025-10-02,Self-Service,LATAM,General Inquiry,0.1,3.8,False,False
2025-10-27,Email,North America,Feature Request,3.3,4.2,False,False
2024-05-16,Phone,LATAM,Billing,1.9,3.8,False,False
2024-03-24,Email,North America,Billing,21.5,3.2,True,False
2024-10-07,Phone,EMEA,Feature Request,1.9,5.0,True,False
2025-12-25,Chat,North America,Account Access,3.2,4.9,True,False
2025-10-22,Phone,EMEA,Billing,2.5,2.7,False,False
2024-12-15,Chat,North America,General Inquiry,4.8,4.8,False,False
2025-06-11,Chat,LATAM,Account Access,4.9,3.3,True,False
2024-06-14,Email,EMEA,Billing,11.5,5.0,False,False
2025-06-28,Phone,EMEA,Feature Request,0.1,3.6,True,False
2025-10-08,Email,North America,Account Access,29.0,4.5,False,False
2025-12-13,Phone,EMEA,Account Access,2.1,4.1,False,False
2025-05-30,Email,EMEA,General Inquiry,21.2,3.5,True,False
2025-07-17,Chat,North America,Billing,6.8,3.7,False,False
2024-03-19,Self-Service,EMEA,Technical Issue,0.5,4.5,True,False
2024-07-08,Chat,North America,Billing,5.4,5.0,False,False
2024-06-06,Chat,North America,Billing,3.2,4.5,False,False
2024-12-02,Email,LATAM,Billing,20.0,2.7,True,True
2025-03-30,Chat,EMEA,General Inquiry,5.0,3.9,False,False
2025-12-18,Phone,North America,Feature Request,2.4,4.3,False,False
2024-11-27,Email,EMEA,General Inquiry,20.7,4.1,False,False
2024-08-26,Phone,North America,Account Access,1.5,3.6,False,True
2024-04-26,Chat,North America,General Inquiry,2.7,3.7,True,False
2024-06-06,Self-Service,LATAM,Billing,0.4,3.5,True,False
2025-04-16,Phone,North America,General Inquiry,2.5,4.7,False,False
2024-07-28,Self-Service,North America,General Inquiry,0.5,3.3,False,False
2024-01-06,Phone,North America,Technical Issue,1.2,4.3,True,True
2024-08-08,Self-Service,EMEA,Account Access,0.3,3.2,True,False
2025-01-03,Chat,APAC,Feature Request,2.9,4.6,False,False
2025-04-02,Chat,North America,Billing,3.9,4.4,True,False
2024-08-20,Chat,LATAM,General Inquiry,4.9,4.6,True,False
2024-03-06,Phone,LATAM,Technical Issue,1.4,4.7,True,False
2025-12-15,Self-Service,APAC,Technical Issue,0.4,3.8,False,False
2025-05-07,Chat,LATAM,Technical Issue,6.6,4.7,False,False
2024-08-06,Chat,LATAM,Technical Issue,1.7,4.5,True,False
2024-01-07,Chat,APAC,Billing,1.7,4.0,False,False
2025-11-07,Email,North America,Billing,21.6,2.6,True,True
2024-05-30,Phone,LATAM,General Inquiry,1.6,5.0,True,False
2024-05-22,Self-Service,EMEA,Technical Issue,0.5,5.0,False,False
2024-07-07,Email,EMEA,Billing,27.4,3.8,False,False
2025-02-11,Self-Service,LATAM,General Inquiry,0.6,3.4,True,False
2024-03-17,Chat,APAC,Technical Issue,5.6,4.1,False,False
2024-02-19,Phone,EMEA,Feature Request,1.9,3.4,True,False
2024-10-18,Chat,APAC,Billing,5.6,2.9,True,False
2024-07-20,Chat,APAC,General Inquiry,4.1,3.1,False,False
